# equation of state: murnaghan.        chisq = 0.1529D-06
# V0 =  920.92 a.u.^3,  k0 = 2102 kbar,  dk0 =  1.00  d2k0 =  0.000  emin = -640.02806
# V0 =  136.47  Ang^3,  k0 = 180.3 GPa

##########################################################################
# Vol.        E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.^3        Ry           Ry            Ry        GPa           Ry
##########################################################################
  892.53    -640.02251    -640.02167    -0.00084       6.69     -639.61664
  897.81    -640.02304    -640.02384     0.00080       5.41     -639.69278
  903.12    -640.02516    -640.02557     0.00040       4.14     -639.77073
  908.44    -640.02673    -640.02684     0.00011       2.89     -639.84835
  913.77    -640.02774    -640.02766    -0.00008       1.64     -639.92564
  919.83    -640.02824    -640.02805    -0.00019       0.25     -640.01266
  924.49    -640.02816    -640.02796    -0.00021      -0.81     -640.07929
  929.88    -640.02761    -640.02744    -0.00017      -2.03     -640.15568
  935.27    -640.02656    -640.02647    -0.00008      -3.23     -640.23179
  940.69    -640.02502    -640.02507     0.00005      -4.42     -640.30765
  946.12    -640.02302    -640.02322     0.00020      -5.60     -640.38327
